Dongxiang,Chinese
ene melieshidaku ayede hhalide kuruchen kunla kuanshen susan chinane,开斋节，经济条件充足的人家炸油饼，酥散，送给村里的人品尝
bijien orozo bareiwude buwalani xinlazhi orozo niegvane,我们请阿訇来吃饭
nenggou de kuru dase ulie xinlane,如果经济条件不够就不请阿訇
qingulani giede orozo niegvale echine,还要到亲戚家开斋
"orozo niegvale echise tiigha, chaye shihenie ugvu zhi echine",开斋的时候带去鸡，茶叶等礼物
"bijienni qingula bijien ni orozo niegvale ye irene,bijiende ye mure ugvune",我们的亲戚也来为我们开斋，也给我们带来礼物
orozo taizhi qishiqien oluse khuinashidaku aye ni fujiene,开斋节之后到七十天就过后尔德节
ene ni khidei ghala zaishengjie giezhi ye uru ne,这个节日，汉语也叫宰牲节
khuinashidaku ayeni udu kunla man hhantulazhi mechide echizhi aye fujiene,后尔德节那天，人们都聚集在清真寺里做礼拜
fujie zhi ba oluse ghoni iman zharune,礼拜之后宰绵羊和山羊
niingou de kuruchin kun ghoni iman fugie zharuzhi aye giene,经济条件充足的人家过尔德节要宰牛宰羊
nenggou de kuru dachen ulie giene,经济条件差的就不宰
aye giekude ghoni iman fugie enelani ghurude zharuzhi baragvane,过节宰牛羊要在三天之内宰完
ghurudu se khuina shi ulie olune,三天之后就不行
bijien ni dunxian kun pezezi santala migva dunda ijiekuni shi ghoni iman fugie tiigha yazi no enelani migva ni ijiene,我们东乡人和其他的穆斯林，只能吃绵羊，山羊，牛，鸡，鸭，鹅等肉类
"zharuse ijiene,fuguse ulie ijiene",只能吃屠宰的，不吃自死的动物
gojiala onshizhi zharusanni ijiene,只能吃自己念经之后宰的
nangala alase ye ulie ijiene,不吃汉人宰的
ula ni ojiende luge yeji enezigvan ni migvani ijiene,山上的动物里，可以吃鹿，野鸡等动物的肉
egvizhi shang deiliegvadene bareizhi zharuse ijiene,但必须是打伤以后捉住后宰的
egvi alase ijieku ulie olune,不吃被打死之物
bijien dunxian kun pezezi santala khighei migva nogvei migva ulie ijiene,我们这些东乡人和其他散塔人，不吃猪肉和狗肉
"khiighei fugunghala giesan jienxin ,bingan,yan gie liaozhe ijieku ulie olune",用猪油做的点心，饼干等，无论如何吃不得
"dagai liushinianse melie bijienni dunxian ni ere kunla pixie pixieliene .ghudusun musine,khudogvo zhone",大约在六十年以前，我们东乡族的男子都束腰带，穿靴子，挎着刀
eme kunla xiaonao musine,妇女们穿小袄
xiaonao ni ghanzhun kouzi jiere enggie ghiizha jiere xiangbian ghada zho,小袄的袖口和衣襟的边儿上，镶着沿条儿
chighen jiere yaqienzi zho zho,耳朵上戴耳坠子
begvelie jiere panzi zhozho,手腕上戴手镯
echan jiere yaqienzi zhozho,在胸前戴牙签子
kon jiere mujizi hai musizho,脚上穿木底子鞋
"hharan tawunni sara,asiman jiere khirei ire wo",十五的月亮，升到了天上
kanzide yale olien wiwo,旁边为什么没有云彩
saigvan oqin ni chini sagvei zhiwo bi,我等待着的漂亮的女孩
chi yale da ulie ire ne,你为什么还不来呢
asiman jiere du ghura ulie baose yao,天上的雨如果不下的话
zhangha chizhe gojiane ulie chizheliene,核桃花不会自己开呢
mini gaga chi gaode sagvei zhiwo bi,我的哥哥你让我好等啊
"chini zhugve ni kun ,ghujinde holu zhi ire ne",你心上的人，快点跑过来呢
chade ni chizhe ni niere,你有一个花的名字
saigvan oqin zhoma la,美丽姑娘卓玛拉
chade nie chizhe ni uxin,你有一个花的笑容
saigvan oqin zhoma la,美丽姑娘卓玛拉
chi nie musichin bunzhu ni xianli,你一飞的小鸟像哩
banche dunda daola zho,草原中间歌唱
chi nie musichin hhebegvei ni xianli,你一飞的蝴蝶像哩
chizhe dunda huarala zho,花丛中间闪烁着
banche dunda du gesan chizhe,草原中的格桑花
chi saigvan ula de ogi wo,你美丽山向给了
chiyi qiezhesan ula,把你养育的山
chi saigvan banchede ogi wo,你美丽草原向给了
chiyi qiezhesan banche,养育你的草原
"Baozi lashigva ghuala egvindu zho, lashigva baozi arasunni egvi kaiyigvazho",包子和面条他俩打架，面条把包子皮打破了
baozi ho kuruzhi kielie chi gaode sagvei,包子生气地说你好好地等着
"puse nie udu, baozi iban zhunbula uduru lashigva egvile echiwo",又一天，包子领着一帮馒头打架去了
mo jiere fanbienmien chujiegvewo,路上看见了方便面
zhunbula fanbienmien idun zayizho,馒头把方便面打了一顿
baozi aman wairu ghala kieliezho,包子歪着嘴说
"zagieda,chi iwei chi usunne tanjise,hoji chini tani dane ba",杂疙瘩，你以为你把头发烫了，伙计我就不认得你啦
"Ghua unzi mokiende basun iyezhi saozho,ga unzi anadene asazho",俩蚊子在茅坑正吃屎，小蚊子问他妈妈
"ama,matan yale jin basun iyene",阿妈，咱们为什么尽吃屎啊
"fugie unzi qiaorun jiere ni ghua zayiwo,kielie",大蚊子在他打了俩下，说
"budan iye kudeni,chaoregva kuyi bu kielie",吃饭的时候，不许说让人恶心的事情
dosila jierese layizho,朋友们从上面拉着
bi dourase zhanjizho,我从下面举着它
ingiezhi khizhegvawo,这样把它从从坑里弄出来了
Bijien bayasizhi ghonini taodene khareiwo,我们高兴地把羊赶回去了
Simagon gaxienzi de naozi linfan wo,司马光小时候很聪明
Niefa de ni zhenlien la se hhantu nadule echi wo,有一次和朋友们一起玩
Nie kewon nie usu tayi zhi durusen fugie gan de anda bao wo,有个孩子掉到一口盛满水的大缸里了
uzhe zhi banjien yenjia fugu wo,眼看就要淹死了
pese de du kewosla ayi zhi holu wida wo,其他孩子都吓跑了
ingiese Simagon nie banfa sumula zhi khizhe wo,司马光想出个办法
hhe nie fugie tashi ghala gan ni zayi gha olugva wo,他拿块大石头，使劲砸缸，终于把缸砸漏了
gan ni usu ye holu wida wo,缸里的水都流光了
ingiese hhe nie kewon jiuyi khizhe wo,于是那个孩子得救了
nubusun baozhi irezho,今年九月，陶斯亮女士又组织第二次旅游助学市长团再次来到我省，帮助了五十多名东乡县儿童
"Ene hon yesun sarade, hhela puse mani shen de iredene, gie onshi dasan kewosila banzhu Giezho",她们计划未来五年都要抽时间来甘肃
hhela da jihua giezhi khuinashi tawun Honde choukun giezhi mani Gansu dai,看望这些受到捐助的孩子，直到他们小学毕业
"ene kewosila izhi binie Gie tala, irene giezho",既然元就能帮助一名山区儿童完成一年的学业
kuai baer shi ula jieredu nie kewosi nie hon onshine ,她希望通过自己的努力带动并影响周围的人，都来关心一下这些渴望回到校园的失学儿童们
hhe xiwan ghuajiayi xindun kunlayi daila inxian giezhi man onshi dasan kewosila ghuanxin giezhi xiexiaode onshile echigva,让路
Mo ranji,在这片强悍之地，在这片与官府互相敌视之地
"Ene turu waizha oronde,ene turu noyenlare, nudun furasan oronde",又令人感动的保存着良好的民风
puse kunni zhugve zholieregvakui chu gaoni xighuan cun Jizho,我在甘肃东乡的大山里走路时
Bi gansu dunxian ula mo jiere yawuse nie ,曾经看见了一幅传说中的景象
kunla chuanjizhi kieliesan chujigve wo,远远山路上走来了一对婆媳
"ula mo jiere gholose nie ghadunmekie ,nie kuan bierei ghuala yawuzhi irewo",见我后
mini chujiegve dene ,年轻的媳妇背过脸
nasun chighan bierei nune ochira dawa,看向山崖
ulade uzhezho,年老的婆婆叉手站在前面
oqiao nieneigie ghua khane dayi melie baidene ,对我们行礼
made lixin giezho,再走了一程
puse nie cha mo yawuse,迎面有一人骑着自行车驶来
melie nie kun zixinche unuzhi irewo,发现我之后那人下车让路
mini chujiegvedene hhe kun chezi jierese bao mo ranjine giezhi,险些摔倒在山路上
gouji chayi shuaiqi unane,心理怀着感动和惊奇朝前走着
bi zhugve ghaniradene melieshi yawuzho,一路上遇到的农民毫无例外地让路荒山中严守着淳朴的礼节
"mojie ochirasan zhuanjia kun,nie da ese feiliezhi mo ranjizho , huanshan ulade da liyila zunjizho",宽宽的大路一次次地被让给了你一个人
agvui moni nie fa nie faji miyi nie zhande ranjizhi ogizho,让路在中文中尽管还有这个词汇存在
ranlu ene lugvqi khidei uroude da feiliezho,但除了在这片黄土世界里，你在哪里也难找到这个词汇产生时的古老景象了
dan ene shira tura oronde dawase puse khalama ene urou zhaya san eqiedewuni yanzi ereizhi olu dane,一封信
Nie fen xin,马院长
Ma yenzhan,你发的信我看了非常高兴
Chi fayisan xin uzhekude bi bayasu alawo,你发的两封信我都看了
Chi fayisa ghua xinlayi bi man uzhewo,我现在去国外工作
bi ede Gowai echizhi gunzo giezho,因此，这几天电脑信箱没有打开
"Ingiese, ene ghuaRudu jiennao xinxianni ese niewo",一看你的信是较早发出的
bi uzhese chi eqiegvan made fayiwo,我们都好
Bijien man gaowo,我们离开兰州时
bijien lanzhuse likai gie kude ,你请我们吃了好吃的
chi bijienni xinlazhi gaoni ijiegvawo,真的麻烦了，你对我帮助很大
"zhenzhen mafan giegvawo, chi made banman gie San fugie no wo",以后东乡的事情你一直要帮忙
ihou dunxian kunlade gao Wilie giekude chi izhi banman nie gie,你说的片子我已要来
Chi kieliesan pienzi bi kerezhi oluwo,有机会给你带来
Jihui Bise chade echigvaye,兄弟俩
Gayijiao Ghuala,从前有一个人
Eqiede nie kun wo,这人的前妻给他生了个儿子就去世了
ene kunde meliedu biereini nie kewon oludene duya ijiewo,这人又娶了个媳妇
Ene kun puse nie bierei agiwo,这个媳妇也生了个男孩
Ene nie biereini ye nie kewon oluwo,这媳妇一直虐待老大
Ene bierei fugie kewonne izhi zaya giezhiwo,就这样，一天天地过去
Ingiezhi nie uduse nie udu,老大长到十八岁了，老二长到十七岁了
"ene fugie kewon oluwo, mila kewon oluwo",这个媳妇还想折磨老大
Ene bierei fugie kewonne zamolone giezho,一天，她对丈夫说我们叫两个儿子出门，看谁厉害一些
"Nie ududeni ene bierei laojidene kielie Manugvun ene ghua kewonlani ghadane khireigvaye, kien hin bise manugvun nie uzheye",又对自己的儿子说你在半路上把他杀了
Ingie goye kewondene kielie Chi hheni mo jiere ala dawagva,还给了自己的儿子一些钱，没给老大什么东西就叫两人出门去了
"Ingie mila kewondene ezegven baer bareigvawo, fugie kewondene yama ese ogi ghualayi khireigvawo",弟兄俩走到一个十字路口
Ene gayijiao ghuala yawuzhi nie shizi mode irewo,商定好了三年后的今天还是在这个地方见面
Ene ghuala ghuran honni ene udude puse ene oronde ochiraye giezhi kielienduwo,三年后的这一天，两人来到原地方
Ghuran honni ene udude ghuala ene oronde irese,老大变富了，驮回一些钱财，老二变得便骨伶仃
"gayini bayazhezhi ezegven baer achizhiwo, jiaoni bixindazhi ghozhiwo",老二说哥哥，你在这井里看看，好象有些什么东西
"Ene jiaoni kielie Gaga, chi ene ghudoude nie uzhe ma, yan bikuni xianli",说在老大往井里望的时候，老二一下子把他推到井里
Gagani nie uzhele echikude jiaoni niende tungudene ghudoude baogvawo,老二驮上哥哥的钱财回家去了
Ingie ene jiaoni baerni achidene kidene echiwo,老大落到井里，落在一个二层台上
Ene fugie kewon ghudoude andazhi bao qiaoqizhe nie taiga jiere loyizhiwo,晚上，过来了狼蛇兔子三个神仙，在井沿上休息
Xienideni zhanghei mogvei taolei ghuran shinxien iredene ghudou bulunde hhamuranduzhiwo,兔子说狼哥，你给咱讲个故事
"Taolei kieliene Zhanghei agva, chi gujin nie kielie sha",狼说有一个富人的女儿病了，谁都没能治好。他家的后院里草底下有一只狐狸，把它打死，姑娘就能好了
"Zhanghei kielie Nie bayan kunni oqinni giemerezhiwo, kiemen da uzhezhi gaodagva dazhiwo. Hheni khuina ghoronni osun bugvun doura nie funiegve wo, funiegveni alase oqin gaodane",蛇仙说那富人的门口有一块石板，石板底下有一股水，他们不知道这水，从十里外打水吃
"Ingiese mogvei kieliene Hhe bayan kunni wijiende nie khara mutun wo, mutun doura shiban wo, shiban doura nie guzi usu wo. Hhela ulie mejiene, shili mo jierese usu ijiezhiwo",兔仙说富人的后院墙根下，有十缸金子，富人没发现
"Ingiese taolei kieliene Ene bayan kunni khuina ghoronni dan konni zeminde hharan gan antan wo, hhe eneni ulie mejiene",这些话全被老大听到了
Ene kielienni fugie kewon man chenlie agiwo,第二天，有一个商人从这里过，从井里打水饮路
"Khuaichu udu nie maimaikai ene oronse dawane, ghudouse lotodene usu dayile irewo",老大就坐到那人的水桶里出来了
Ene kewon sogvodeni saodene khizhewo,老大走到富人的村子里
Ene fugie kewon yawuzhi bayan kunni agvinde irese,他女儿的病很重，四处的人都没能看好
"ene oqinni gien gundu wo, gochuni kun kiemen uzhezhi gaodagva dazhiwo",富人许诺，谁能治好他女儿的病，就把女儿嫁给他
Ene bayan kun kien orunni oqinni uzhezhi gaodagvase oqinne kiende ogine giezhi kieliezhiwo,老大就去治病了
Ingiese ene kewon giennini uzhele echiwo,老大先号了下脉，说你们的后院里有一垛草，那下面有一只狐狸，把它打死，病就能好
"Ene kewon sudanni nie bareidene kieliene Tani khuina ghoronde nie osun bugvun wo, hhe doura nie funiegve wo, hheni alase ene gien gaodane",老大领了几个人，在草中上放了一把火，草底下跑出一只狐狸
Ingie ene kewon giedun kunni uduru osunde nie khan taise nie funiegve holuzhi khizhewo,他们把狐狸打死了，姑娘的病就好了
Enela funiegveni egvi alase oqinni gaodawo,过后，富人嫌老大穷，又不愿把女儿给他
"Ingiese bayan kun ene kewon jiahui wo giezhi, puse oqinne ogiku duran widawo",她女儿说你是有名望的人，话已经说出去了，现在不嫁别人会骂你们的
"Ingiese oqinni kielie Chi shi kun agisen kun wo, kielienne khireigvawo, ede furase kunla chini sugiene",就这样，富人把女儿嫁给了老大
Ingiese bayan kun oqinne ogiwo,一天，老大说你们从十里外打水吃，门口就有一股缸那般粗水的水，你们怎么不挖
"Nie udude ene kewon kielie Ta shili mo jierese usu ijiezhiwo, wijiendetani gan biedun usu wo, ta hheni ulie wayizhi yan giezhiwo",老大领了一帮人，把榆树挖倒了，下面出来一块石板，把石板取掉后流出一股水。这股水既大又干净，富人和村民们都高兴了
"Ene kewon iban kunni uduruzhi khara mutunni wayi dawagvase shiban khizhewo. Shibsnni wayi dawagvase usu khizhewo. Ene usu fugie wo, arun wo, Bayan kun agvinni kunlaji ashigvala bayasiwo",又有一天，老大给富人说你后院里有一些金子，你没有发现
"Puse nie ududeni ene kewon bayan kunde kieliene Chini khuina ghoronde ezegven antan wo, chi eneni ulie mejiene",他们俩去后院墙根下挖了一挖，真的挖出十缸金子。从此以后，富人对老大越加尊重起来
"Ingie enela echizhi khuina ghoronni dan konde nie wayise, hharan gan antan khizhewo. Enese khuina bayan kun kewonni budei danrin giewo",后来，老大驮了几驮金子，领着媳妇，来看自己的父亲
"Khuinashi ene kewon giedun achan antanni achiwo, biereine udurudene awine uzhele irenduwo",父亲高兴地问老大我的儿啊，这几年你在哪儿？你弟弟来了，你怎么这么晚才回来？老大就把经过都说了一遍
"Awini bayasizhi kewondene asane Mini kewon, ene giedun hon chi khala waine? Jiaochini irewo, chi matu udawo? Ene kewon dawasenni man nie kieliewo",后娘一听就生气了
Ene khuaitu aneini nie chenliese ho kuruzhiwo,她对亲儿子说我把你也放到井里去，你也偷听一下神仙们的谈话，发个财
"Hhe qin kewondene kielie Bi chini hhe gudoude baogvaye, chi shinxienlani kielienni ghulazhi nie chenliedene ye nie facaila",于是她把老二用绳子吊下井里去
Ingie ene mila kewonne jiesun ghala jiaoziliezhi ghudoude baogvawo,晚上，这三个神仙又来到了井沿上休息
Xienideni ene ghuran shinxien puse irede ene ghudou bulun jiere hhamuranduwo,兔说狼哥，你讲个故事吧
"Taolei kielie Zhanghei agva, chi gujin nie kielie sha",狼仙说上次的话都叫人给听去了，现在还有什么好说的
"Ene zhanghei kieliene Meliedu fa kieliesenni kunla man chenlie echiwo ma, ede puse yan kieliene",这时，猫仙发现了老二，说这个人又来偷听，咱们把他打死
"Ingiekude mogvei ene kewonni mejiewo, kieliene Ene kun puse ghulazhi chenliele irezhiwo, yala matan eneni egvi alaye. Ingie enela mila kewonni egvi alawo",金戒指
Antan Gaizhi,从前有个男孩子，他很勤快，也很善良，直译心也很好
"Eqiede nie kewon wo, ene kewon qingu hin wo, zhugve ye gao hin wo",他家里有个妈妈。这孩子给富人放羊，和他妈妈俩人一起过日子
"Ene kewonde nie ana wo, ene kewon bayan kunlade ghoni adulazhi aneikun ghuala udu dawazhiwo",有一天，这个男孩子去山上放羊，走着的时候，路上看见一条黑蛇和一条白蛇打架
"Niudude ene kewon ulade ghoni adulale echiwo, yawuku mo jiere nie khara mogvei nie chighan mogvei ghuala egvidukuni chanlawo",这个男孩子急忙用棍子把它俩分开了，于是这两条蛇各自走自己的路去了
Ene kewon jindazhi teiyaghala baoyizhi kaiyigvawo. Ingiese ghua mogveila goye moladene yawunduwo,这孩子放羊到天黑了，回去的路上，碰见个不认识的留白胡子的老爷子
"Ene kewon ghoni adulazhi khara oluwo, khareiku mo jiere nie tani daku chighan sagvantu laojigani piinjiwo",这老爷子对男孩说年轻人，你认识我么
"Laojiga ene kewonde kieliene Nasun chighan kun, chi mejie nu ulie",今天你拉开的黑蛇是魔鬼变的
Ene udu chi sidagvazhi kaiyigvasen hhe nie khara mogvei shi shaitan bienjisen ghuilusenwo,白蛇是龙王爷的儿子变的，明天穿黑衣服的人请你来，你无论如何也别去
"chighan mogvei shi lunwonyeni kewon bienjisenwo, magvashijie chini nie khara jien musisen kun xinlale irese, chi matu gieliaozhe bu echi",一个穿白衣服的人请你来，你做客去
"nie chighan jien musisen kun xinlale irese, chi zhochinlale echi",刚说完，白胡子爷爷就消失不见了
Jian kieliezhi baluku hhantu chighan sagvantu laojiga widawo,第二天，这孩子刚爬山一个穿黑衣服的人就请他来了
"Khuaichu udu ene kewon jian ulade khireise, nie khara jien musisen kun xinlale irewo",这人无论怎么说，男孩子也不去，这人没有办法就自己走掉了
"Hhe kun yan kielieliaozhe ene kewon laojigani kielienni chenliedene ulie echine, hhe kun yama banfa widase goyene yawulawo",过了一会儿，一个穿白衣服的年轻人来的男孩身边说我是龙王爷的小儿子，昨天你救了我的命
"Puse niecha baise, nie chighan jien musisen nasun chighan kun ene kewonni shida ire kieliene Bi shi lunwonyeni mila kewon wo, uchugvudu chi mini aminni jiuyiwo",我父王请你来，一样一样地礼物送给你，你什么都别要，只要一个金戒指，它会给你带来好处
"adamini chini xinlagvale irewo, chimade yanyanji mure khugvone, chi yanliaozhe bu kere, zi nie antan gaizhini kere, hhe chimade tusa olune",他们俩说着说着走到一个大河旁，龙王爷的儿子说你别怕，闭上眼睛我背着你进河
"Ghuala kielien kielien yawuzhi nie fugie moron ghizhade irewo, lunwonyeni kewon kieliene Chi bu ayi, nudunne hami bi chini beiliesenu moronde oroye",那孩子闭着眼睛，龙王爷的儿子背着他，不知不觉就到了龙王爷的皇宫
"Ene kewon nudunne hamise lunwonyeni kewon beiliewo, nie mejie dakude lunwonyeni hongunde kuruzhi irewo",龙王爷一家人接待了他，对男孩子说你救了我儿子的命，您的日子过得可怜啊，我送给你两盘子金子，两盘子银子，你拿去用吧
"lunwonye nie giechilie ene kewonni jieliewo, ene kewonde kieliene Chi mini kewonni aminni jiuyiwo, tani udu dawasen lolien wo, bi chimade ghua hhamusa antan ghua hhamusa miengu khugvoye, chi agizhi echidene zharule echi",男孩子急忙说我什么也不要，只要一个金戒指
"Ene kewon jindazhi kieliene Bi yamada ulie kerene, zi nie antan gaizhi kerene",龙王爷喘气了一下答应了，于是，让男孩子吃饱了送到河边
"Lunwonye nie hhadadene dayin giewo, puse ene kewonde gaoni ijiegvazhi chudugvadene khugvozhi moron ghizhade echigvawo",这男孩子高兴地回家了。走了一会又饿了，他生气地想咳，我刚才要金子多好啊，要戒指有什么用呢
"Ene kewon bayasizhi gie khareiku mo jiere yawuzho, niecha yawuse you oliesizho, you hhechezho, hhe ho kuruzhi sumulane Hhai bi jian antanni kerewo shi gaowola, ene gaizhini yande injine",于是他在路上躺着睡着了等觉睡醒了之后看见路上各种各样的吃的都摆满了。他吃饱了，起来去找羊群去了，找到后赶着羊群回家去了
"Ingie hhe mo jiere kijie hhunturawo, nie no xiereise hhe mo jiere yanyanji ijiewuni baila durugvazho. Hhe ijiezhi chudu, bosizhi ire ghonilani ereile echiwo, ereizhi olu taodene gie khareiwo",第二天早上，他又到山上放羊去了
Khuaichu magva hhe puse ulade ghoni adulale echiwo,于是睡醒了各种各样的食物又都摆满了，于是又服坦地吃了一顿，就这么一天一天地过去了
"ingie nie no xiereise puse shigveni ijiewuni baila durugvazho, hhe puse futande ijiewo, jiu ingiezhi nie udu nie uduji dawawo",一天，这孩子仍然赶着羊到山上放羊，他到一块石头旁闭上眼睛假装睡觉
"Niudude ene kewon yen ghonilani taozhi ulade khireiwo, hhe nie tashi shida nudunne hami zhonjizhi kijiewo",过了一会，他那金戒指里出来了个漂亮的女孩，手一甩，吃的在面前都摆满了
"gouji niecha baise hhe antan gaizhini sudorose nie saigvan oqin khizhi irewo, hhe oqin khane nie shuayise ijiewuni man melie bailawo",这女孩刚要进戒指的时候，男孩大声地喊起来，女孩吓住了
"ene oqin jian antan gaizhi sudoro orone giekude ene kewon fugiede nie waradase, ene oqin ayi baiwo",女孩说你没有姐姐的话，我给你当姐姐，你没有媳妇的话，我给你当媳妇。你为什么吓唬我啊
"Ene oqin kieliene Chimade ajia wise bi ajia danlaye chimade bierei wise bi chimade bierei danlaye, chi mini ayigvazhi yan giene",这男孩听了之后急忙说我没有媳妇，你给我当媳妇吧
"Ene kewon chenliedene jindazhi kieliene Made bierei wiwo, chi made bierei danla ba",于是女孩就给男孩当了媳妇。此后，男孩不再放羊了
Ingiesenu ene oqin kewonde bierei danlawo. Ene uduni khuinase kewon ghoni ese adulawo,他媳妇对男孩说你有什么事情就对金戒指说，你一说，金戒指里四个大力士就出来了，你说什么他们就做什么
"Biereini ene kewonde kieliene Chi yan wilie giese ene antan gaizhide kielie, chi dai kieliese gaizhi sudorose jieron iliantu kun khizhi irene, chi yan kieliese hhala yan giene",这天晚上男孩刚对金戒指说，金戒指里四个人真的就出来了
"Hhe xieni kewon gaizhide nie kieliese, shihua gaizhi sudorose jieron kun khizhi irewo",男孩对他们说你们给我盖一个俩院子的房子，家里要摆满家具，再给我找一些钱来
"Ene kewon hhelade kieliene Tan made ghua ghoron gie baigvazhi ogi, gie sudoro jiashilani bailazhi durugva, puse made ezegven baer ereizhi ire",说完男孩就睡觉了
Kieliezhi baragva ene kewon kijiewo,第二天早上醒来真的俩院子的房子盖好了，家里要摆满家具，此后男孩就过好日子了
"Khuaichu magva xiereise shihua ghua ghoron gieni baigvazhi gaodagvazho, jiashilayi bailazho, eneni khuinase ene kewon gao udu dawawo",一天男孩要出去，一个妖怪变的伙计问他媳妇你的丈夫以前很穷，现在怎么就富起来了
"Niudude ene kewon ghadane khizhi echiwo. Nie shaitan bienjisen hoji biereideni asane Chini khugvon melieshi jiahui hin wo, ede matu gie ingie bayazhe wo",媳妇就把如何变富的经过全讲了，妖怪就说那么，把戒指拿来，我看一看吧
Ene biereini matu giezhi bayazhesenni man kieliezhi ogiwo. Ene shaitan kieliene Qinse gaizhine agizhi khizhe ma bi nie uzheye,媳妇拿戒指给他看的时候，妖怪对戒指说快点把这个房子，人什么的放到河边去
"Ene bierei agizhi khizhe nie uzhegvakude , shaitan antan gaizhide kieliene Ghujigvan ene gie kunji man khugvozhi moron ghizhade echigvadene jie",奇怪了，刚说完房子就都到河边去了
"Qiaoqizhe, jian kieliezhi baluse gielani man moron ghizhade echiwo",这男孩子刚回来，家，媳妇都不见了
Ene kewon khareizhi irese gie biereiji man widazho,于是他又给人放羊过日子
Ene puse kunlade ghoni adulazhi udu dawazho,这男孩从前在家养了一只狗，一只猫
Ene kewonni giede melieshi nie nogvei nie maoer qiezhezho,这狗对猫说我们的主人养了我们，现在咱们的主人遭难了，我们俩去把金戒指找来去吧
"Ene nogvei maoerde kieliene Matanni ezhen matanni qiezhewo, ede matanni ezhende belia baowo, matan ghuala ezhenni antan gaizhiyini ereile yawuye",于是猫和狗去妖怪那里找戒指去了
Ingie maoer nogvei ghuala shaitanni hhense gaizhini ereile echiwo,狗在门那等着，猫到屋里找，找了一会儿没找着，这时候碰见个老鼠，对老鼠说这屋子里有个金戒指，你给我快点去找，不然我就吃了你
"Nogvei wijiende sagveizho, maoer gie sudoro ereile echiwo, niecha ereise ereizhi olu dawo, ingiekude nie shizhagvanni piinjiwo, shizhagvande kieliene Ene nie giede nie antan gaizhi wo, chi made ghujigvan ereile echi, puse shi bi chini ijie agine",老鼠害怕地找起戒指来，找到了交给猫
"Shizhagva ayizhi gaizhini ereile qiyiwo, ereizhi oludene maoerde ogiwo",猫抓了戒指就吃掉了老鼠，然后对狗说戒指找着了，现在咱们回家吧
"Maoer gaizhini barei shizhagvanni ijie agiwo, ingie nogveide kieliene Gaizhini ereizhi oluwo, ede matan gie khareiye",于是他俩开始走，过了一会，狗又饿又累，对猫说你在这等我，我去找点吃的，我吃饱了就把戒指送给主人
"Ingie ghuala yawule qiyiwo, niecha yawuse nogveini you oliesi you hhechewo, maoerde kieliene Chi ene turu mini sagvei, bi matande ijiewuni ereile echiye, matan ijiezhi chuduyedene gaizhini ezhende khugvoye",狗刚走，猫就把戒指拿着送到主人那里，送给主人之后，主人高兴地把猫抱到怀里放到热炕上
"Nogvei jian yawulase maoer gaizhini barei ezhenni shida echiwo, gaizhini ezhendene ogiese, ezhenni bayasizhi maoerne odene qieru khalun huai jiere jiewo",这男孩又变富了。媳妇也回来了，这男孩把妖怪打死了
"Ene kewon puse bienjizhi bayazhewo, biereini ye khareizhi irewo. Ene kewon shaitanni egvi alawo",这时候狗才回家
Ingiekude nogvei cai giedene khareizhi irewo,主人对狗说我一样地养你们俩，猫给我办了大事，你跑哪去了？于是抓起棍子把狗打了一顿，赶出家去了
"Ene ezhenni nogveide kieliene Bi iyanji ta ghualani qiezhezho, maoer made nie fugie wilie banjiwo, chi holuzhi khala echizho? Ingie nie teiyani barei nogveini idunde egvizhi ghadane khireigvawo",此后，猫就经常在炕上享福了，狗就常常在门那蹲着了
"Eneni khuinase maoer chanban huai jiere xianfu giezho, nogvei chanban wijiende dundeizho",此后，狗和猫一见面就生气，狗和猫永远也不会和好了
"Eneni khuinase , nogvei dai maoerni chanlase jiu ho kuruzho, nogvei maoer ghuala ibeizi nairagva dane",扁鹊的医术
bienqueni gien uzhekuni,魏文王问名医扁鹊说你们家兄弟三人，都精于医术，到底哪一位最好呢
"wiwiinwan fugie deifu bienquede asazho tan gayijiao ghurelie man gien uzhezhi hiin ma, qinse aliniezhen chu hiin",扁鹊答长兄最好，中兄次之，我最差
"bienque kielie fugie gayi chu hiin, baozhese dundalaku gayi, bi chu bixin wo",文王再问那么为什么你最出名呢
wiwiinwan puse asa zho qinse yala chi chu niere khireizho,扁鹊答长兄治病，是治病于病情发作之前。由于一般人不知道他事先能铲除病因，所以他的名气无法传出去
"bienquekielie fugie gayi gien dasekhizhesan xienzide uzhe zho.kunla hheni eqiegvense gienni widagvakuni ulie mejiene, ingiese jiu nierede khireida zho",老二哥哥治病，是治病于病情初起时。一般人以为他只能治轻微的小病，所以他的名气只及本乡里
"laoer gayi gien dai gholune giese uzhe zho. manshigvala guan hhe zi senfen gienni uzhene giezho, ingiese hheni niere guan agvinde wain",而我是治病于病情严重之时
bi uzhesan gien shi gundudasan gien,一般人都看到我在经脉上穿针管放血在皮肤上敷药等大手术
"bi sudan jiere zhun egvi chusun tai ji, mara jiere ye fureisan, fugie shoushulani chanlase",以为我的医术高明，名气因此响遍全国
"sumulasan shi bi gien uzhezhi chu fama, ingiese mini nierequengode",事后控制不如事中控制，事中控制不如事前控制
"wilie khirei dene giele ehiku wilie khireikude giele echikude kuda ne, wilie khireikude giele echiku puse wilie khireikuni melie giele echikude ulie ku ne",老虎和兔子
Basi Taolei Ghuala,从前，有一只老虎，他在奔走的时候，跑来一只兔子
